,RMSE,MAE,MAPE,PI Width,CI Coverage,PI Overlap
mean,7928461371.471638,2207652306.065671,56560334.86281526,0.0,0.0,0.0
std,32812975510.188496,9282734707.847748,237836866.86526474,0.0,0.0,0.0
