,RMSE,MAE,MAPE,PI_Width,CI_Coverage,PI_Overlap
mean,487.1185848832407,380.12722783282516,11.077715099299912,0.0,0.0,0.0
std,70.38722997477046,73.0712880998911,1.8748847958978507,0.0,0.0,0.0
