,RMSE,MAE,MAPE,PI Width,CI Coverage,PI Overlap
mean,2123.1400489211233,2009.7827260335287,54.42689280070896,0.0,0.0,0.0
std,1417.2111616416223,1371.6814404238655,35.89412164193069,0.0,0.0,0.0
