,RMSE,MAE,MAPE,PI Width,CI Coverage,PI Overlap
mean,306.03850080495164,223.11508483886718,6.481077753802875,0.0,0.0,0.0
std,48.377270218218065,40.81358966210669,1.1833924083273213,0.0,0.0,0.0
