,RMSE,MAE,MAPE,PI Width,CI Coverage,PI Overlap
mean,9870554.365624594,3006167.991438802,76989.1979312132,0.0,0.0,0.0
std,54043680.62937941,16446177.418272087,421184.5044698047,0.0,0.0,0.0
