,RMSE,MAE,MAPE,PI Width,CI Coverage,PI Overlap
mean,421.2309512940788,279.4804330679087,8.437951687573799,0.0,0.0,0.0
std,2.074959235229895,1.9433122907248832,0.0573655777083729,0.0,0.0,0.0
