,RMSE,MAE,MAPE,PI Width,CI Coverage,PI Overlap
mean,548.0625161454074,391.16594746907555,12.501558050978874,0.0,0.0,0.0
std,1.4287158564451432,0.7034390592957412,0.00746238264963476,0.0,0.0,0.0
