,RMSE,MAE,MAPE,PI_Width,CI_Coverage,PI_Overlap
mean,990.2631440730071,912.3682873485535,25.05566380070045,0.0,0.0,0.0
std,875.0988287797915,895.3104917788467,24.19267059816575,0.0,0.0,0.0
