,RMSE,MAE,MAPE,PI Width,CI Coverage,PI Overlap
mean,319.0857006507127,250.91796375296963,4.46283166435982,0.0,0.0,0.0
std,101.93643705767505,104.8590636556994,1.8237109710075186,0.0,0.0,0.0
