,RMSE,MAE,MAPE,MSE,PI Width,CI Coverage,PI Overlap
mean,877.3320588587235,818.4266906738281,23.79863863261854,776172.5166666667,0.0,0.0,0.0
std,81.75431127752178,82.5780913293417,2.0164850143074116,150846.81644249815,0.0,0.0,0.0
