,RMSE,MAE,MAPE,PI Width,CI Coverage,PI Overlap
mean,1189.4574463380695,1110.560524644309,28.708840289544188,0.0,0.0,0.0
std,35.164649489471365,26.046314582322168,0.7897902254575918,0.0,0.0,0.0
