,RMSE,MAE,MAPE,PI_Width,CI_Coverage,PI_Overlap
mean,502.78306714392056,404.160342035061,11.59037042728215,0.0,0.0,0.0
std,100.22447057874584,107.38952124469114,2.8053593631017497,0.0,0.0,0.0
