,RMSE,MAE,MAPE,PI_Width,CI_Coverage,PI_Overlap
mean,525.6054721845501,422.6476221100102,12.278392761266689,0.0,0.0,0.0
std,121.36848304884725,125.54904991747452,3.5381101145486546,0.0,0.0,0.0
