,RMSE,MAE,MAPE,PI_Width,CI_Coverage,PI_Overlap
mean,452.7547624773833,348.1415342749618,10.20513448779941,0.0,0.0,0.0
std,52.18206332849717,39.54798971414206,1.0963180539080637,0.0,0.0,0.0
