,RMSE,MAE,MAPE,PI_Width,CI_Coverage,PI_Overlap
mean,549.1560240900908,455.68119204141266,12.935231906485642,0.0,0.0,0.0
std,230.66601537194205,239.15186367851368,6.402749769894985,0.0,0.0,0.0
