,RMSE,MAE,MAPE,PI Width,CI Coverage,PI Overlap
mean,1212.2661702672158,1150.8892511351494,29.61641415294168,0.0,0.0,0.0
std,4.868150404832705,6.752087961747722,0.18605738085303264,0.0,0.0,0.0
