,RMSE,MAE,MAPE,PI Width,CI Coverage,PI Overlap
mean,711.3089236720917,646.7865200343275,11.330572009628234,0.0,0.0,0.0
std,308.8302681552252,318.52610482409796,5.547055951759837,0.0,0.0,0.0
