,RMSE,MAE,MAPE,PI_Width,CI_Coverage,PI_Overlap
mean,924.4896143061627,824.2612646583618,22.758805162920286,0.0,0.0,0.0
std,689.984515382092,711.4275565567918,18.72037210436673,0.0,0.0,0.0
