,RMSE,MAE,MAPE,PI_Width,CI_Coverage,PI_Overlap
mean,435.1801725527816,341.1622134999333,9.647465066396968,0.0,0.0,0.0
std,92.78271791240053,96.63878424193396,2.435186934406133,0.0,0.0,0.0
