,mean,std,lower_ci,upper_ci,ci_width
train_rmse,292.2099,13.8745,289.4905,294.9293,5.4388
train_mae,236.5318,12.0644,234.1672,238.8964,4.7292
train_mape,6.1978,0.3135,6.1363,6.2592,0.1229
train_pi_coverage,95.6157,0.9515,95.4292,95.8022,0.373
test_rmse,1284.3868,50.9928,1274.3922,1294.3814,19.9892
test_mae,1099.2208,60.4318,1087.3761,1111.0654,23.6893
test_mape,17.8833,1.0419,17.6791,18.0875,0.4084
test_pi_coverage,61.7167,3.4996,61.0307,62.4026,1.3719
