,RMSE,MAE,MAPE,PI_Width,CI_Coverage,PI_Overlap
mean,627.6577144588484,511.0892214626736,15.262378954501331,0.0,0.0,0.0
std,136.81700324299925,128.1289987205505,3.564335926100303,0.0,0.0,0.0
