,RMSE,MAE,MAPE,PI_Width,CI_Coverage,PI_Overlap
mean,570.1432807362863,484.7036454363568,13.668278666016535,0.0,0.0,0.0
std,318.2406184118475,330.61966119975745,9.086101641060559,0.0,0.0,0.0
