,RMSE,MAE,MAPE,PI_Width,CI_Coverage,PI_Overlap
mean,785.6203893080176,677.6806974085367,19.104433381627373,0.0,0.0,0.0
std,1452.0895893842078,1460.1644325294556,39.743964268355676,0.0,0.0,0.0
