,RMSE,MAE,MAPE,PI_Width,CI_Coverage,PI_Overlap
mean,537.6350405589669,443.710494068287,13.201223337327725,0.0,0.0,0.0
std,104.89915944084828,100.41960857623168,2.884396447710722,0.0,0.0,0.0
