,RMSE,MAE,MAPE,PI Width,CI Coverage,PI Overlap
mean,55922634128.964714,13303064228.505312,340427318.471433,0.0,0.0,0.0
std,306300859893.41693,72863864700.3681,1864596723.4699776,0.0,0.0,0.0
