True,Pred
2718,3970.938
3098,3983.5652
3416,3995.86
3721,4007.754
3608,4018.497
3475,4028.2944
3384,4037.1404
3668,4045.155
3624,4052.5571
3518,4059.0688
3695,4065.2383
3745,4070.441
4044,4075.1392
4332,4079.3525
4006,4083.1274
4252,4086.5076
4056,4089.534
4129,4092.2437
3950,4094.6692
3980,4096.8403
4000,4098.783
4022,4100.5225
3832,4102.0786
3820,4103.471
4017,4104.7183
4008,4105.834
3671,4106.832
4155,4107.7256
3922,4108.526
4079,4109.2417
4063,4109.882
4085,4110.455
4061,4110.9683
3882,4111.427
3999,4111.838
3692,4112.2056
3976,4112.5347
