,RMSE,MAE,MAPE,PI_Width,CI_Coverage,PI_Overlap
mean,464.6753408967322,367.0469414935848,10.675910575554488,0.0,0.0,0.0
std,101.60406542382376,98.41634368946447,2.8281880831053425,0.0,0.0,0.0
