,RMSE,MAE,MAPE,PI_Width,CI_Coverage,PI_Overlap
mean,962.5879312460602,881.3675005905026,24.28609338385731,0.0,0.0,0.0
std,993.2542360508876,1010.527276258487,27.430353783716555,0.0,0.0,0.0
