,RMSE,MAE,MAPE,PI Width,CI Coverage,PI Overlap
mean,784.8685914244109,711.9667054642078,20.890433354296484,0.0,0.0,0.0
std,125.29741013089959,148.7275264643273,3.8861888936133475,0.0,0.0,0.0
