,train_mean_rmse,train_std_rmse,test_mean_rmse,test_std_rmse,train_mean_mape,train_std_mape,test_mean_mape,test_std_mape,trials_completed
42,701.3818,0.0,1594.3318,0.0,12.2498,0.0,24.4318,0.0,30.0
123,701.3818,0.0,1594.3318,0.0,12.2498,0.0,24.4318,0.0,30.0
456,701.3818,0.0,1594.3318,0.0,12.2498,0.0,24.4318,0.0,30.0
789,701.3818,0.0,1594.3318,0.0,12.2498,0.0,24.4318,0.0,30.0
1000,701.3818,0.0,1594.3318,0.0,12.2498,0.0,24.4318,0.0,30.0
