,RMSE,MAE,MAPE,PI Width,CI Coverage,PI Overlap
mean,339.4843792794988,275.96231621636286,7.443756007292504,0.0,0.0,0.0
std,73.13859318453824,74.31076782018886,1.9639385163330436,0.0,0.0,0.0
