,train_mean_rmse,train_std_rmse,test_mean_rmse,test_std_rmse,train_mean_mape,train_std_mape,test_mean_mape,test_std_mape,trials_completed
42,311.86,107.0421,1300.8928,292.4624,6.7123,2.8016,18.1441,5.4953,30.0
123,289.0696,26.0931,1289.8649,61.9979,6.1356,0.6125,18.0385,1.2906,30.0
456,293.3672,26.3737,1305.5556,91.1442,6.2349,0.5442,18.3391,1.7444,30.0
789,291.5624,56.5679,1326.8069,170.183,6.1994,1.4203,18.6647,3.0708,30.0
1000,315.9931,158.853,1304.1448,92.2905,6.7381,3.7346,18.2501,1.7282,30.0
