,RMSE,MAE,MAPE,PI_Width,CI_Coverage,PI_Overlap
mean,450.85043542568263,354.43866135511945,10.280577748011527,0.0,0.0,0.0
std,53.462861617127295,50.161857847318515,1.348136888237236,0.0,0.0,0.0
