,RMSE,MAE,MAPE,PI_Width,CI_Coverage,PI_Overlap
mean,499.1004044660466,416.78628345630784,12.341695516154052,0.0,0.0,0.0
std,14.80773203562398,31.07602705970818,0.5369719171517535,0.0,0.0,0.0
