,RMSE,MAE,MAPE,PI Width,CI Coverage,PI Overlap
mean,726.3622906397206,653.3943684830435,18.176354473456126,0.0,0.0,0.0
std,2.312606865032684e-13,1.156303432516342e-13,0.0,0.0,0.0,0.0
