,RMSE,MAE,MAPE,PI_Width,CI_Coverage,PI_Overlap
mean,538.65324545536,441.4595619936343,13.051550572305011,0.0,0.0,0.0
std,83.53219602105696,86.60634387411042,1.8113996502945224,0.0,0.0,0.0
