,RMSE,MAE,MAPE,PI Width,CI Coverage,PI Overlap
mean,497.6250575404459,233.02376810039,7.112613938615228,0.0,0.0,0.0
std,1.7344551487745132e-13,2.890758581290855e-14,0.0,0.0,0.0,0.0
