True,Pred
3098,3995.3137
3416,4012.809
3721,4029.4172
3608,4036.0225
3475,4042.922
3384,4046.1274
3668,4048.4026
3624,4049.836
3518,4051.441
3695,4055.5503
3745,4058.4956
4044,4065.5781
4332,4069.1304
4006,4072.0596
4252,4074.4543
4056,4076.3843
4129,4078.0332
3950,4079.451
3980,4080.7249
4000,4081.8965
4022,4082.9968
3832,4084.0322
3820,4084.9734
4017,4085.831
4008,4086.5513
3671,4087.1787
4155,4087.7258
3922,4088.2063
4079,4088.6306
4063,4089.0088
4085,4089.3462
4061,4089.6482
3882,4089.9177
3999,4090.1587
3692,4090.372
3976,4090.5615
