,RMSE,MAE,MAPE,PI_Width,CI_Coverage,PI_Overlap
mean,1976.2599502693186,1903.1629303722843,51.88258715371614,0.0,0.0,0.0
std,3886.9377250843213,3903.4874258192463,105.41674037066628,0.0,0.0,0.0
